rank,Hospital,patient_count,total_billing,avg_billing
1,Johnson Plc,35,1040431.6,29726.62
2,Llc Smith,40,948561.1,23714.03
3,Ltd Smith,35,915166.77,26147.62
4,Smith Plc,33,901359.29,27313.92
5,Smith Ltd,35,897694.86,25648.42
6,Group Smith,30,847450.76,28248.36
7,Johnson Inc,29,808238.6,27870.3
8,Inc Brown,25,801547.73,32061.91
9,Llc Johnson,28,767916.61,27425.59
10,Smith Group,32,740300.95,23134.4
11,Inc Jones,23,719331.31,31275.27
12,Williams Llc,25,710196.17,28407.85
13,Brown Inc,26,705969.16,27152.66
14,Inc Smith,25,695782.69,27831.31
15,Plc Williams,27,686686.63,25432.84
16,Johnson Ltd,20,683076.95,34153.85
17,Smith Inc,29,654926.66,22583.68
18,Group Johnson,24,650742.81,27114.28
19,Plc Smith,26,618213.91,23777.46
20,Smith Llc,28,614709.37,21953.91
21,Johnson Group,24,613210.34,25550.43
22,Inc Williams,20,601133.63,30056.68
23,Williams Group,20,596705.71,29835.29
24,Brown Llc,24,569620.28,23734.18
25,Miller Inc,19,569596.08,29978.74
26,Brown Plc,20,564460.85,28223.04
27,Jones Group,20,562005.51,28100.28
28,Llc Williams,20,555914.96,27795.75
29,Williams Ltd,18,547866.4,30437.02
30,Inc Johnson,24,542054.3,22585.6
31,Johnson Llc,20,533684.52,26684.23
32,Ltd Brown,19,523849.3,27571.02
33,Jones Ltd,19,514169.89,27061.57
34,Williams Inc,19,510634.28,26875.49
35,Ltd Jones,17,510628.92,30037.0
36,Jones Llc,19,509890.14,26836.32
37,Group Brown,22,506359.19,23016.33
38,Group Davis,17,498075.19,29298.54
39,Brown Group,19,484093.72,25478.62
40,Llc Garcia,19,481188.41,25325.71
41,Ltd Johnson,18,474454.49,26358.58
42,Miller Llc,16,461446.68,28840.42
43,Plc Brown,16,452727.44,28295.46
44,Llc Brown,18,450130.92,25007.27
45,Williams Plc,17,449902.31,26464.84
46,Plc Rodriguez,15,444917.15,29661.14
47,Llc Jones,17,435557.91,25621.05
48,Jones Inc,15,430976.23,28731.75
49,Garcia Plc,12,428346.6,35695.55
50,Brown Ltd,17,427131.34,25125.37
51,Inc Rodriguez,14,423118.05,30222.72
52,Miller Ltd,17,422514.43,24853.79
53,Group Miller,13,418927.39,32225.18
54,Wilson Group,16,418517.48,26157.34
55,Ltd Miller,14,413195.8,29513.99
56,Miller Plc,17,410741.36,24161.26
57,Martin Inc,15,409568.14,27304.54
58,Garcia Group,14,401121.35,28651.52
59,Davis Inc,14,397656.51,28404.04
60,Group Jones,18,394772.09,21931.78
61,Davis Group,14,393592.85,28113.78
62,Llc Davis,13,383787.08,29522.08
63,Inc Anderson,10,383145.48,38314.55
64,Lopez Plc,12,382992.63,31916.05
65,Inc Garcia,12,379463.66,31621.97
66,Davis Plc,14,371854.85,26561.06
67,White Inc,14,371586.99,26541.93
68,Group Garcia,14,369336.94,26381.21
69,Llc Clark,11,365402.32,33218.39
70,Ramirez Group,12,361242.0,30103.5
71,Plc Miller,13,355128.68,27317.59
72,Hernandez Ltd,11,352444.09,32040.37
73,Plc Thomas,14,352397.55,25171.25
74,Plc Johnson,14,350195.55,25013.97
75,Rodriguez Group,11,348071.07,31642.82
76,Group Martinez,9,346260.64,38473.4
77,Inc Taylor,14,344880.14,24634.3
78,Inc Hernandez,13,344401.26,26492.4
79,Moore Inc,12,342586.36,28548.86
80,Wilson Plc,14,340391.73,24313.7
81,Thomas Llc,13,333795.7,25676.59
82,Johnson Sons And,12,333341.54,27778.46
83,Ltd Williams,16,331366.73,20710.42
84,Wilson Llc,12,328928.28,27410.69
85,Rodriguez Ltd,14,328363.92,23454.57
86,Ltd Thompson,11,328165.31,29833.21
87,Green Plc,12,325977.65,27164.8
88,Thompson Ltd,11,325658.58,29605.33
89,Rodriguez Inc,12,325557.28,27129.77
90,Inc Moore,10,325179.13,32517.91
91,Miller Group,12,324388.65,27032.39
92,Group Williams,16,323911.82,20244.49
93,Thompson Plc,11,323500.31,29409.12
94,Ltd Hernandez,12,321633.03,26802.75
95,King Ltd,10,316057.98,31605.8
96,Moore Llc,14,315846.1,22560.44
97,Clark Plc,11,315013.58,28637.6
98,Inc Miller,14,314484.27,22463.16
99,Inc Jackson,13,312095.72,24007.36
100,Wilson Ltd,12,308775.53,25731.29
101,Ltd Jackson,11,306031.38,27821.03
102,Hernandez Plc,12,305787.52,25482.29
103,Llc Moore,12,304937.34,25411.45
104,Martin Group,11,301850.25,27440.93
105,Ltd Davis,9,297005.91,33000.66
106,Jones Sons And,10,295969.84,29596.98
107,Martinez Inc,12,293890.49,24490.87
108,Group Cook,9,293505.68,32611.74
109,Ltd Wright,11,291994.82,26544.98
110,Lewis Ltd,10,289690.25,28969.02
111,Martin Plc,10,289672.79,28967.28
112,Group Rodriguez,10,289163.06,28916.31
113,Plc Jackson,8,288471.15,36058.89
114,Smith Sons And,10,287142.7,28714.27
115,Ltd Anderson,11,287087.86,26098.9
116,Sons And Brown,10,286935.94,28693.59
117,Taylor Ltd,13,286519.37,22039.95
118,And Sons Smith,12,286173.25,23847.77
119,Group Anderson,10,283858.42,28385.84
120,Plc Jones,15,283473.9,18898.26
121,Plc Thompson,11,281908.93,25628.08
122,Llc Wilson,9,281784.51,31309.39
123,Ltd Martinez,9,281497.17,31277.46
124,Inc Nelson,12,281266.05,23438.84
125,Ltd Clark,10,280645.26,28064.53
126,Sons And Johnson,12,280129.36,23344.11
127,Plc Harris,10,279418.3,27941.83
128,Lee Plc,10,278957.71,27895.77
129,Anderson Plc,14,278883.63,19920.26
130,Jones Plc,13,277336.5,21333.58
131,Stone Ltd,9,275694.31,30632.7
132,Gilbert Ltd,9,275509.98,30612.22
133,And Sons Williams,12,273307.21,22775.6
134,Plc Lewis,11,271590.43,24690.04
135,Walker Plc,9,271403.58,30155.95
136,Ltd Lewis,9,271087.27,30120.81
137,Moore Plc,11,270867.64,24624.33
138,Inc Davis,12,265543.6,22128.63
139,Inc Robinson,9,265499.9,29499.99
140,Lopez Group,9,264385.73,29376.19
141,Allen Group,9,264039.74,29337.75
142,Inc Gonzalez,11,263616.72,23965.16
143,Moore Ltd,8,262484.3,32810.54
144,Llc Rodriguez,11,261597.75,23781.61
145,Jackson Inc,8,259759.93,32469.99
146,Garcia Inc,10,259302.57,25930.26
147,Ltd Lee,9,258093.02,28677.0
148,Thomas Inc,9,256401.82,28489.09
149,Inc Lopez,12,256268.59,21355.72
150,Group Hernandez,12,255658.86,21304.91
151,Sons Williams And,11,255251.52,23204.68
152,Plc Davis,13,252458.0,19419.85
153,Harris Group,8,252156.05,31519.51
154,Ltd Martin,10,248861.94,24886.19
155,White And Sons,7,248494.09,35499.16
156,Inc Harris,11,247934.19,22539.47
157,Anderson Inc,12,247439.29,20619.94
158,Plc Anderson,12,244995.38,20416.28
159,Llc Lopez,10,244568.14,24456.81
160,Llc Taylor,10,243483.46,24348.35
161,Sanchez Group,9,242663.96,26962.66
162,Plc Green,8,241863.12,30232.89
163,Llc Robinson,7,240355.14,34336.45
164,Sons And Smith,9,240232.78,26692.53
165,Inc Scott,7,240148.94,34306.99
166,Llc Hernandez,10,240026.37,24002.64
167,Llc Flores,9,238848.9,26538.77
168,Turner Group,7,238795.25,34113.61
169,Anderson Group,13,237581.97,18275.54
