admission_month,admissions
2019-05,615
2019-06,824
2019-07,850
2019-08,899
2019-09,846
2019-10,905
2019-11,862
2019-12,834
2020-01,852
2020-02,799
2020-03,839
2020-04,835
2020-05,878
2020-06,842
2020-07,901
2020-08,912
2020-09,814
2020-10,862
2020-11,811
2020-12,811
2021-01,852
2021-02,745
2021-03,870
2021-04,796
2021-05,810
2021-06,823
2021-07,885
2021-08,806
2021-09,799
2021-10,810
2021-11,824
2021-12,863
2022-01,880
2022-02,693
2022-03,851
2022-04,783
2022-05,812
2022-06,879
2022-07,842
2022-08,865
2022-09,832
2022-10,818
2022-11,803
2022-12,878
2023-01,835
2023-02,795
2023-03,827
2023-04,807
2023-05,840
2023-06,861
2023-07,822
2023-08,871
2023-09,831
2023-10,799
2023-11,808
2023-12,833
2024-01,825
2024-02,792
2024-03,811
2024-04,843
2024-05,190
2024-06,2
