Hospital,patient_count
Llc Smith,40
Johnson Plc,35
Smith Ltd,35
Ltd Smith,35
Smith Plc,33
Smith Group,32
Group Smith,30
Smith Inc,29
Johnson Inc,29
Smith Llc,28
Llc Johnson,28
Plc Williams,27
Plc Smith,26
Brown Inc,26
Inc Smith,25
Inc Brown,25
Williams Llc,25
Brown Llc,24
Group Johnson,24
Inc Johnson,24
Johnson Group,24
Inc Jones,23
Group Brown,22
Inc Williams,20
Jones Group,20
Johnson Ltd,20
Brown Plc,20
Llc Williams,20
Williams Group,20
Johnson Llc,20
Ltd Brown,19
Jones Llc,19
Jones Ltd,19
Llc Garcia,19
Williams Inc,19
Brown Group,19
Miller Inc,19
Williams Ltd,18
Group Jones,18
Ltd Johnson,18
Llc Brown,18
Williams Plc,17
Miller Plc,17
Miller Ltd,17
Brown Ltd,17
Llc Jones,17
Group Davis,17
Ltd Jones,17
Ltd Williams,16
Group Williams,16
Miller Llc,16
Wilson Group,16
Plc Brown,16
Plc Jones,15
Plc Rodriguez,15
Martin Inc,15
Jones Inc,15
Ltd Miller,14
Davis Inc,14
Group Garcia,14
Inc Rodriguez,14
Anderson Plc,14
Rodriguez Ltd,14
Davis Group,14
Davis Plc,14
Plc Johnson,14
Plc Thomas,14
Garcia Group,14
Inc Miller,14
Moore Llc,14
Wilson Plc,14
Inc Taylor,14
White Inc,14
Thomas Llc,13
Inc Jackson,13
Llc Davis,13
Plc Miller,13
Hill Inc,13
Anderson Group,13
Inc Hernandez,13
Group Miller,13
Jones Plc,13
Plc Davis,13
Taylor Ltd,13
Ramirez Group,12
Moore Inc,12
Anderson Llc,12
Wilson Llc,12
Plc Anderson,12
Inc Lopez,12
Lopez Plc,12
Miller Group,12
Llc Moore,12
Group Hernandez,12
Rodriguez Plc,12
And Sons Smith,12
Inc Garcia,12
Martinez Inc,12
Garcia Plc,12
Green Plc,12
Ltd Hernandez,12
Inc Lee,12
Inc Nelson,12
Rodriguez Inc,12
Hernandez Plc,12
Anderson Inc,12
Johnson Sons And,12
Inc Davis,12
And Sons Williams,12
Wilson Ltd,12
Sons And Johnson,12
Robinson Inc,12
Plc Thompson,11
Llc Clark,11
Plc Lewis,11
Ltd Jackson,11
Clark Plc,11
Ltd Anderson,11
Martin Group,11
Ltd Wright,11
Thompson Ltd,11
Inc Harris,11
Moore Plc,11
Sons Williams And,11
Ltd Thompson,11
Thompson Plc,11
Davis Ltd,11
Rodriguez Group,11
Llc Rodriguez,11
Hernandez Ltd,11
Inc Gonzalez,11
Thomas And Sons,10
Llc Taylor,10
Llc Lopez,10
Sons Smith And,10
Group Lopez,10
Ltd Clark,10
Lewis Ltd,10
Group Rodriguez,10
Llc Hernandez,10
Group Clark,10
Sons And Brown,10
Smith Sons And,10
Llc Martinez,10
Plc Lopez,10
Jones Sons And,10
Inc Wright,10
Plc Harris,10
Group Anderson,10
Inc Moore,10
Martinez Ltd,10
King Ltd,10
Lee Plc,10
White Group,10
Garcia Inc,10
Carter Inc,10
Martin Plc,10
Inc Anderson,10
Ltd Martin,10
Group Lewis,10
Inc Robinson,9
Ltd Harris,9
Clark Llc,9
Walker Plc,9
Gilbert Ltd,9
Ltd Davis,9
Martin Llc,9
Inc Martinez,9
Group Martinez,9
Llc King,9
Ltd Martinez,9
Thomas Inc,9
Ltd Lee,9
Inc Perez,9
Taylor Inc,9
Stone Ltd,9
Campbell Llc,9
Lopez Llc,9
Martin Ltd,9
Llc Flores,9
Group Gonzalez,9
Lee Llc,9
James Ltd,9
Inc Thomas,9
Sons And Smith,9
Mitchell Inc,9
Ltd Moore,9
Murphy Inc,9
Phillips Llc,9
Group Thompson,9
Phillips Ltd,9
Gonzalez Llc,9
Wilson Inc,9
Garcia Llc,9
Group Nelson,9
Lopez Group,9
Gonzalez Inc,9
Plc Garcia,9
Llc White,9
Sanchez Group,9
Llc Wilson,9
Group Cook,9
Ltd Nelson,9
Llc Anderson,9
Ltd Thomas,9
Allen Group,9
Llc Miller,9
Llc Martin,9
Ltd Lewis,9
Lopez Inc,9
And Jones Sons,8
Jackson Group,8
Gibson Llc,8
Sanchez Inc,8
Smith And Sons,8
Sons Brown And,8
Sons Miller And,8
Allen Plc,8
Taylor Plc,8
Thompson Group,8
Wallace Llc,8
Hall Llc,8
Group Walker,8
Inc Martin,8
Adams Group,8
Cook Group,8
Hall Plc,8
Johnson-Smith,8
Davis Llc,8
Inc Wilson,8
Jackson Plc,8
Harris Group,8
Clark Inc,8
Jackson Inc,8
Young Ltd,8
Llc Thompson,8
Ltd Hall,8
Ltd Lopez,8
Ltd Taylor,8
Gonzalez Group,8
Harris Plc,8
Moore Group,8
Jackson Llc,8
Moore Ltd,8
Perez Group,8
Plc Cook,8
Plc Green,8
Gonzalez Ltd,8
Plc Hill,8
Plc Jackson,8
Plc White,8
Plc Wright,8
Robinson Group,8
Group Martin,7
White And Sons,7
White Llc,7
Anderson Ltd,7
Jackson Ltd,7
Inc Evans,7
White Ltd,7
Lee Group,7
Martinez Plc,7
